,name,region,country,lat,lon,tz_id,localtime_epoch,localtime,sunrise,sunset,moonrise,moonset,moon_phase,moon_illumination,is_moon_up,is_sun_up
107,Tokyo,Tokyo,Japan,35.69,139.69,Asia/Tokyo,1675951005,09/02/2023 22:56,6:35 am,5:16 pm,8:28 pm,8:27 am,Waning Gibbous,91,0,1
108,Saint Helier,,Jersey,49.18,-2.1,Europe/Jersey,1675951005,09/02/2023 13:56,7:28 am,5:18 pm,9:19 pm,9:09 am,Waning Gibbous,91,1,0
109,Amman,Amman Governorate,Jordan,31.95,35.93,Asia/Amman,1675951006,09/02/2023 16:56,7:24 am,6:17 pm,9:40 pm,9:28 am,Waning Gibbous,91,1,0
110,Astana,Astana,Kazakhstan,51.18,71.43,Asia/Almaty,1675951006,09/02/2023 19:56,8:39 am,6:18 pm,10:10 pm,10:13 am,Waning Gibbous,91,1,0
111,Nairobi,Nairobi Area,Kenya,-1.28,36.82,Africa/Nairobi,1675951007,09/02/2023 16:56,6:42 am,6:52 pm,9:38 pm,9:16 am,Waning Gibbous,91,1,0
112,Tarawa,,Kiribati,-0.88,169.53,Pacific/Tarawa,1675951007,10/02/2023 1:56,6:52 am,7:00 pm,9:32 pm,9:10 am,Waning Gibbous,91,0,1
113,Riga,Riga,Latvia,56.95,24.1,Europe/Riga,1675951008,09/02/2023 15:56,8:06 am,5:10 pm,9:29 pm,9:28 am,Waning Gibbous,91,1,0
114,Beirut,Beyrouth,Lebanon,33.87,35.51,Asia/Beirut,1675951008,09/02/2023 15:56,6:28 am,5:16 pm,8:42 pm,8:30 am,Waning Gibbous,91,1,0
115,Maseru,Maseru,Lesotho,-29.32,27.48,Africa/Johannesburg,1675951009,09/02/2023 15:56,5:46 am,7:02 pm,9:17 pm,8:47 am,Waning Gibbous,91,1,0
116,Monrovia,Montserrado,Liberia,6.31,-10.8,Africa/Monrovia,1675951009,09/02/2023 13:56,7:01 am,6:54 pm,9:54 pm,9:33 am,Waning Gibbous,91,1,0
117,Tripoli,Tarabulus,Libya,32.89,13.18,Africa/Tripoli,1675951010,09/02/2023 15:56,7:57 am,6:47 pm,10:15 pm,10:01 am,Waning Gibbous,91,1,0
118,Balzers,Balzers,Liechtenstein,47.07,9.5,Europe/Vaduz,1675951010,09/02/2023 14:56,7:37 am,5:37 pm,9:30 pm,9:21 am,Waning Gibbous,91,1,0
119,Vilnius,Vilniaus Apskritis,Lithuania,54.68,25.32,Europe/Vilnius,1675951011,09/02/2023 15:56,7:54 am,5:13 pm,9:24 pm,9:21 am,Waning Gibbous,91,1,0
120,Luxembourg,Luxembourg,Luxembourg,49.61,6.13,Europe/Luxembourg,1675951012,09/02/2023 14:56,7:56 am,5:44 pm,9:45 pm,9:36 am,Waning Gibbous,91,1,0
121,Macao,Anhui,China,31.31,117.1,Asia/Shanghai,1675951012,09/02/2023 21:56,6:59 am,5:53 pm,9:03 pm,8:57 am,Waning Gibbous,91,1,1
122,Macedonia,Iowa,USA United States of America,41.19,-95.43,America/Chicago,1675951013,09/02/2023 7:56,7:24 am,5:48 pm,9:48 pm,9:24 am,Waning Gibbous,91,0,0
123,Antananarivo,Antananarivo,Madagascar,-18.92,47.52,Indian/Antananarivo,1675951013,09/02/2023 16:56,5:40 am,6:28 pm,8:54 pm,8:27 am,Waning Gibbous,91,1,0
124,Lilongwe,Lilongwe,Malawi,-13.98,33.78,Africa/Blantyre,1675951014,09/02/2023 15:56,5:41 am,6:17 pm,8:50 pm,8:25 am,Waning Gibbous,91,1,0
125,Kuala Lumpur,Kuala Lumpur,Malaysia,3.17,101.7,Asia/Kuala_Lumpur,1675951014,09/02/2023 21:56,7:28 am,7:28 pm,10:10 pm,9:50 am,Waning Gibbous,91,1,1
126,Male,Maale,Maldives,4.17,73.5,Indian/Maldives,1675951015,09/02/2023 18:56,6:21 am,6:19 pm,9:06 pm,8:46 am,Waning Gibbous,91,1,0
127,Bamako,Bamako,Mali,12.65,-8,Africa/Bamako,1675951015,09/02/2023 13:56,6:56 am,6:36 pm,9:42 pm,9:23 am,Waning Gibbous,91,1,0
128,Valletta,,Malta,35.9,14.51,Europe/Malta,1675951016,09/02/2023 14:56,6:56 am,5:37 pm,9:09 pm,8:57 am,Waning Gibbous,91,1,0
129,Majuro,,Marshall Islands,7.1,171.38,Pacific/Majuro,1675951016,10/02/2023 1:56,6:53 am,6:44 pm,9:23 pm,9:06 am,Waning Gibbous,91,0,1
130,Fort-De-France,,Martinique,14.6,-61.08,America/Martinique,1675951017,09/02/2023 9:56,6:30 am,6:07 pm,9:22 pm,9:01 am,Waning Gibbous,91,0,0
131,Nouakchott,Trarza,Mauritania,18.09,-15.98,Africa/Nouakchott,1675951017,09/02/2023 13:56,7:34 am,7:02 pm,10:15 pm,9:57 am,Waning Gibbous,91,1,0
132,Port Louis,Port Louis,Mauritius,-20.16,57.5,Indian/Mauritius,1675951018,09/02/2023 17:56,5:58 am,6:50 pm,9:14 pm,8:45 am,Waning Gibbous,91,1,0
133,Mamoudzou,,Mayotte,-12.78,45.23,Indian/Mayotte,1675951018,09/02/2023 16:56,5:56 am,6:30 pm,9:04 pm,8:38 am,Waning Gibbous,91,1,0
134,Mexico City,The Federal District,Mexico,19.43,-99.13,America/Mexico_City,1675951019,09/02/2023 7:56,7:08 am,6:33 pm,9:59 pm,9:37 am,Waning Gibbous,91,0,1
135,Aderew,Federated States of Micronesia,United States of America,6.94,158.28,Pacific/Pohnpei,1675951019,10/02/2023 0:56,6:45 am,6:37 pm,9:17 pm,8:59 am,Waning Gibbous,91,0,1
136,Grinautsy-Moldova,Gagauzia,Moldova,48.28,27.45,Europe/Chisinau,1675951020,09/02/2023 15:57,7:28 am,5:22 pm,9:15 pm,9:09 am,Waning Gibbous,91,1,0
137,Monaco-Ville,,Monaco,43.73,7.42,Europe/Monaco,1675951021,09/02/2023 14:57,7:38 am,5:52 pm,9:39 pm,9:28 am,Waning Gibbous,91,1,0
138,Ulan Bator,Ulaanbaatar,Mongolia,47.92,106.92,Asia/Ulaanbaatar,1675951021,09/02/2023 21:57,8:09 am,6:04 pm,9:42 pm,9:48 am,Waning Gibbous,91,1,0
139,Montenegro,Rio Grande do Sul,Brazil,-29.7,-51.47,America/Sao_Paulo,1675951022,09/02/2023 10:57,6:02 am,7:18 pm,9:39 pm,9:15 am,Waning Gibbous,91,0,0
140,Plymouth,Saint Anthony,Montserrat,16.7,-62.22,America/Montserrat,1675951022,09/02/2023 9:57,6:37 am,6:09 pm,9:27 pm,9:06 am,Waning Gibbous,91,0,0
141,Rabat,,Morocco,34.03,-6.84,Africa/Casablanca,1675951023,09/02/2023 14:57,8:18 am,7:05 pm,10:38 pm,10:23 am,Waning Gibbous,91,1,0
142,Maputo,Maputo,Mozambique,-25.97,32.59,Africa/Maputo,1675951023,09/02/2023 15:57,5:31 am,6:37 pm,8:56 pm,8:27 am,Waning Gibbous,91,1,0
143,Mandalay,Mandalay,Myanmar,22,96.08,Asia/Yangon,1675951024,09/02/2023 20:27,6:40 am,5:59 pm,9:02 pm,8:49 am,Waning Gibbous,91,1,0
144,Windhoek,Windhoek,Namibia,-22.57,17.08,Africa/Windhoek,1675951025,09/02/2023 15:57,6:37 am,7:35 pm,9:59 pm,9:32 am,Waning Gibbous,91,1,0
